Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_TestSuite,Chrome 94.0.4606.81,,,2021-10-22 14:20:38,2021-10-22 14:22:42,2m - 4.308s,PASSED
,,,,,,,
Test Cases/TestCase_1,Chrome 94.0.4606.81,,,2021-10-22 14:20:38,2021-10-22 14:21:04,25.451s,PASSED
"openBrowser(""https://hfx-cadence.cs197.force.com/UnifiedSSO/CadenceApplicationLoginScreen?appcode=cos&langcode=en"")",Chrome 94.0.4606.81,,,2021-10-22 14:20:39,2021-10-22 14:20:46,7.198s,PASSED
"setText(findTestObject(""Test_1_OR/Page_Cadence Login/input_Academic users please contact_pgIdfrmIdiptTxt""), ""auto_swhostiduser1.en@cssotest.com"")",Chrome 94.0.4606.81,,,2021-10-22 14:20:46,2021-10-22 14:20:48,2.192s,PASSED
"setText(findTestObject(""Test_1_OR/Page_Cadence Login/input_Academic users please contact_pgIdfrmIdj_id107""), ""Cadence123"")",Chrome 94.0.4606.81,,,2021-10-22 14:20:48,2021-10-22 14:20:49,0.723s,PASSED
"click(findTestObject(""Test_1_OR/Page_Cadence Login/input_Terms of Use_pgIdfrmIdj_id114""))",Chrome 94.0.4606.81,,,2021-10-22 14:20:49,2021-10-22 14:21:04,14.829s,PASSED
,,,,,,,
Test Cases/TestCase_2,Chrome 94.0.4606.81,,,2021-10-22 14:21:04,2021-10-22 14:21:14,10.168s,PASSED
"openBrowser(""https://hfx-cadence.cs197.force.com/UnifiedSSO/CadenceApplicationLoginScreen?appcode=cos&langcode=en"")",Chrome 94.0.4606.81,,,2021-10-22 14:21:04,2021-10-22 14:21:11,6.670s,PASSED
"click(findTestObject(""Test_2_OR/Page_Cadence Login/input_Terms of Use_pgIdfrmIdj_id114""))",Chrome 94.0.4606.81,,,2021-10-22 14:21:11,2021-10-22 14:21:13,2.389s,PASSED
"verifyElementPresent(findTestObject(""Test_2_OR/Page_Cadence Login/li_Email and Password are required. Please try again""), 0)",Chrome 94.0.4606.81,,,2021-10-22 14:21:13,2021-10-22 14:21:14,0.704s,PASSED
,,,,,,,
Test Cases/TestCase_3,Chrome 94.0.4606.81,,,2021-10-22 14:21:14,2021-10-22 14:21:24,10.380s,PASSED
"openBrowser(""https://hfx-cadence.cs197.force.com/UnifiedSSO/CadenceApplicationLoginScreen?appcode=cos&langcode=en"")",Chrome 94.0.4606.81,,,2021-10-22 14:21:14,2021-10-22 14:21:21,6.250s,PASSED
"setText(findTestObject(""Test_2_OR/Page_Cadence Login/input_Academic users please contact_pgIdfrmIdiptTxt""), ""auto_swhostiduser1.en@cssotest.com"")",Chrome 94.0.4606.81,,,2021-10-22 14:21:21,2021-10-22 14:21:23,2.089s,PASSED
"click(findTestObject(""Test_2_OR/Page_Cadence Login/input_Terms of Use_pgIdfrmIdj_id114""))",Chrome 94.0.4606.81,,,2021-10-22 14:21:23,2021-10-22 14:21:24,0.957s,PASSED
"verifyElementPresent(findTestObject(""Test_2_OR/Page_Cadence Login/li_Password is required. Please try again""), 0)",Chrome 94.0.4606.81,,,2021-10-22 14:21:24,2021-10-22 14:21:24,0.683s,PASSED
,,,,,,,
Test Cases/TestCase_4,Chrome 94.0.4606.81,,,2021-10-22 14:21:24,2021-10-22 14:21:35,10.284s,PASSED
"openBrowser(""https://hfx-cadence.cs197.force.com/UnifiedSSO/CadenceApplicationLoginScreen?appcode=cos&langcode=en"")",Chrome 94.0.4606.81,,,2021-10-22 14:21:25,2021-10-22 14:21:31,6.043s,PASSED
"setText(findTestObject(""Test_2_OR/Page_Cadence Login/input_Academic users please contact_pgIdfrmIdj_id107""), ""Cadence123"")",Chrome 94.0.4606.81,,,2021-10-22 14:21:31,2021-10-22 14:21:33,2.030s,PASSED
